X_peptide;Y_peptide;RD1_x;RD2_x;medRD_mas1;bcnum_x;RD1_y;RD2_y;medRD_mas2;bcnum_y
O1;O1;0.053429849707932;0.0689655172413793;0.0588494371289367;182;0.0751539081306965;0.0642116440056262;0.0708401855552215;88
O1;O10;0.102803738317757;0.102564102564103;0.103059581320451;149;0.170731707317073;0.142857142857143;0.158523908523909;99
O1;O11;0.0583692936634113;0.0699891895544069;0.0643548387096774;198;0.0754716981132075;0.0746268656716418;0.0766609880749574;115
O1;O12;0.0534124629080119;0.063265306122449;0.0625;197;0.06852204681546;0.067227418241165;0.0676634860855866;96
O1;O13;0.0651465798045603;0.0752118644067797;0.0718317085684967;175;0.1;0.0944558521560575;0.0941402497598463;93
O1;O14;0.0517241379310345;0.0641025641025641;0.056047197640118;165;0.061754368938769;0.0592130892091936;0.0604395604395604;80
O1;O15;0.0491228070175439;0.0588235294117647;0.0571428571428571;191;0.0749766078223442;0.0655722758594215;0.0700374810118222;104
O1;O16;0.0618556701030928;0.0617283950617284;0.0645161290322581;173;0.0769230769230769;0.0681818181818182;0.068362480127186;119
O1;O2;2.73704829965872;2.12413682954556;2.47971746017728;144;3.28688524590164;3.94614103275958;3.90884229717411;85
O1;O3;0.0494390952040543;0.0591736694677871;0.0566934927997914;128;0.0764732343679712;0.0675174391664266;0.0742329016053798;80
O1;O4;0.0570522979397781;0.0651162790697674;0.0605095541401274;169;0.0712472806381436;0.0724662141044394;0.0707153713160945;94
O1;O5;0.0535087719298246;0.0653574658360129;0.0603459487579659;202;0.0619013409961686;0.0670341688836968;0.0636123735522651;100
O1;O6;0.0453318942255801;0.056980056980057;0.0526315789473684;185;0.0697018770702981;0.0635110579266941;0.0665780173420241;124
O1;O7;0.0603085553997195;0.063454759106933;0.0662251655629139;187;0.0751426867705937;0.0697307180851064;0.0695570877644034;126
O1;O8;0.0511243296832049;0.0605346356671004;0.0589303841427579;208;0.0731707317073171;0.0755555555555556;0.0711297071129707;105
O1;O9;0.0736842105263158;0.08;0.0758796100042391;235;0.096234309623431;0.0916481892091648;0.09375;137
O10;O1;0.990780064014632;0.507561505470264;0.740962959289929;196;1.9607124148769;1.57386934673367;1.70678581401843;137
O10;O10;0.0590717299578059;0.0740740740740741;0.0664451827242525;171;0.0764872521246459;0.0699233716475096;0.0726361928616155;87
O10;O11;0.0883458217641018;0.0971432804128293;0.0932131863767252;216;0.0901639344262295;0.0871985157699443;0.0883813306852036;101
O10;O12;0.0514018691588785;0.062049062049062;0.0584615384615385;177;0.0679012345679012;0.060790273556231;0.0644007155635063;123
O10;O13;0.0559638929019604;0.0668574543472336;0.0611626515038157;134;0.0836549239090369;0.0739344882225888;0.0773543366352603;78
O10;O14;0.0719331924488404;0.0854525997733854;0.0746394016224059;166;0.0964566929133858;0.0861423220973783;0.0897959183673469;105
O10;O15;0.0675675675675676;0.0704845814977974;0.0681818181818182;205;0.0780791350356568;0.0745688373476063;0.0757381823213629;108
O10;O16;0.0851678053044418;0.0923531507366039;0.0912581133563975;224;0.093446536687135;0.0918479720655385;0.0925228688269508;136
O10;O2;0.192044074174183;0.118734139423795;0.154821979254275;184;0.370285371702638;0.266274735434124;0.300824894213854;116
O10;O3;0.0785634118967452;0.0851063829787234;0.080952380952381;163;0.0921194792603821;0.0896354731382864;0.0957704458161636;80
O10;O4;0.071107544141252;0.0842089662537204;0.0769230769230769;216;0.100415183867141;0.0888580505515989;0.0887455288106754;146
O10;O5;0.39030612244898;0.2;0.286857142857143;215;0.637755102040816;0.446767484184071;0.514642590945156;146
O10;O6;0.0564102564102564;0.0681818181818182;0.064;203;0.0617469879518072;0.0611995104039168;0.0621493310315063;121
O10;O7;0.0656934306569343;0.0761904761904762;0.0700985761226725;225;0.0834057341442224;0.0851063829787234;0.0812538989394885;127
O10;O8;0.0798872180451128;0.0821917808219178;0.0840672538030424;233;0.107955110224798;0.106769327164064;0.111017394397887;132
O10;O9;3.71550718512257;3.83585117355952;3.92011234285557;306;6.63875675125433;6.37074023285203;6.45105917450881;168
O11;O1;0.0536912751677852;0.0662460567823344;0.0606060606060606;177;0.0645523185412066;0.070733740967204;0.0681675701589409;98
O11;O10;0.0498533724340176;0.0625;0.0540958268933539;121;0.0614035087719298;0.0538555691554468;0.0569105691056911;83
O11;O11;0.0541237113402062;0.0666666666666667;0.0590979782270607;189;0.0792920068090605;0.0655308067375887;0.0734878697241609;110
O11;O12;2.0126582278481;2.11578947368421;1.95238095238095;205;2.44060234244283;1.67036235803137;1.88196218702095;123
O11;O13;0.047454028362163;0.0620192307692308;0.0556258790436006;140;0.0699152542372881;0.0682730923694779;0.0676229508196721;89
O11;O14;0.0450630177092259;0.0592625109745391;0.0531128336737722;158;0.0670391061452514;0.0714285714285714;0.067741935483871;91
O11;O15;0.0516280478570347;0.0585130663014949;0.0562545989698308;220;0.0674678271722209;0.0629009236728098;0.0641085013533095;106
O11;O16;0.053262330164734;0.0660592757149406;0.0618719494688487;186;0.0749152643032583;0.0698780184217077;0.0719440824546855;110
O11;O2;0.0454545454545455;0.0579862424522619;0.0506762540660846;156;0.0679870668088526;0.069078947368421;0.0723357608682926;86
O11;O3;0.0643685514664067;0.0701778385772914;0.0679253318191497;140;0.108170310701956;0.0887096774193548;0.0930232558139535;79
O11;O4;2.05996472663139;1.63842482100239;1.79597701149425;213;0.241921269095182;0.21031746031746;0.219051987767584;104
O11;O5;0.0570934256055363;0.0664961636828645;0.0630630630630631;223;0.0770547945205479;0.0669099756690998;0.0711237553342817;93
