name,numpeps,orthints,ogap,maxneg,minpos,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
4H_1or2N_sameGE_5_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P07_bc-50.00_nc-44.00-all.00.aA.fasta,11,7,0.0582861550000002,1.992001615,2.05028777,4H3049-AA,4H1385-AA,4H337-AA,4H1070-AA,4H2622-AA,4H2579-AA,4H3587-AA,4H384-AA,4H3625-AA,4H1193-AA,4H1392-AA,,,,,,,,,,,,,,,,,
4H_2N_5_DNA-ALL-basic-rep-core_vertical-Ridge-WbnRD10_P07_bc-48.00_nc-42.00-hetero-ex.00.00.aA.fasta,21,11,0.0277679560000001,1.927599852,1.955367808,4H2198-AA,4H1874-AA,4H123-AA,4H2620-AA,4H697-AA,4H3133-AA,4H1351-AA,4H1629-AA,4H2553-AA,4H3631-AA,4H384-AA,4H982-AA,4H1310-AA,4H340-AA,4H1388-AA,4H3697-AA,4H1142-AA,4H3413-AA,4H2648-AA,4H3588-AA,4H2611-AA,,,,,,,
4H_2N_5_DNA-ALL-basic-rep-nter_core-Ridge-WbnRD10_P07_bc-48.00_nc-40.70-all.00.aA.fasta,12,9,0.393433852,0.316284514,0.709718366,4H1639-AA,4H2219-AA,4H963-AA,4H3493-AA,4H376-AA,4H3340-AA,4H249-AA,4H2611-AA,4H1626-AA,4H1738-AA,4H406-AA,4H3381-AA,,,,,,,,,,,,,,,,
AP2N_only_potapov_B07_T1_DEL-1.20-bc-7.95_nc-6.75-all.00.aA.fasta,7,4,0.383164159,-0.210060886,0.173103273,APC222-AA,APC2257-AA,APC1115-AA,APC5009-AA,APC1916-AA,APC3323-AA,APC2811-AA,,,,,,,,,,,,,,,,,,,,,
AP2N_P1or2N_potapov_B07_T1_-DEL-1.20-bc-8.10_nc-6.90-all.00_reduced.aA.fasta,10,9,0.375278298,0.399487309,0.774765607,APC8191-AA,4H716-AA,4H2148-AA,APC4011-AA,4H2290-AA,APC2405-AA,4H733-AA,4H2447-AA,4H2143-AA,4H2458-AA,,,,,,,,,,,,,,,,,,
APPNIC.aA.fasta,12,6,0.235907678,1.662666249,1.898573927,P12-AA,P2-AA,P7-AA,P5-AA,P10-AA,P4-AA,P9-AA,P1-AA,P6-AA,P11-AA,P3-AA,P8-AA,,,,,,,,,,,,,,,,
mason_small.aA.fasta,7,4,0.484744453,0.89191324,1.376657693,Q3-AA,Q6-AA,Q7-AA,Q8-AA,Q2-AA,Q4-AA,Q1-AA,,,,,,,,,,,,,,,,,,,,,
mason.aA.fasta,12,6,0.141436782,1.897226351,2.038663133,O16-AA,O4-AA,O2-AA,O1-AA,O9-AA,O12-AA,O7-AA,O11-AA,O14-AA,O10-AA,O3-AA,O8-AA,,,,,,,,,,,,,,,,
N.aA.fasta,6,3,0.054311588,1.922100452,1.97641204,N6-AA,N7-AA,N3-AA,N5-AA,N8-AA,N4-AA,,,,,,,,,,,,,,,,,,,,,,
PNIC.aA.fasta,12,6,0.235907678,1.662666249,1.898573927,P12-AA,P2-AA,P7-AA,P5-AA,P10-AA,P4-AA,P9-AA,P1-AA,P6-AA,P11-AA,P3-AA,P8-AA,,,,,,,,,,,,,,,,
potapov_4h-1or2N-not_first_only_B07_bc-8.60_nc-7.60-all.00-cleaned.aA.fasta,16,11,0.0233166149999999,1.029037302,1.052353917,4H4001-AA,4H2442-AA,4H1446-AA,4H918-AA,4H967-AA,4H3782-AA,4H687-AA,4H3427-AA,4H797-AA,4H3855-AA,4H883-AA,4H3112-AA,4H3354-AA,4H568-AA,4H717-AA,4H1257-AA,,,,,,,,,,,,
